epoch,train_loss,val_loss,val_acc
1,0.698662,0.691747,0.524158
2,0.650738,0.688568,0.537928
3,0.619208,0.678595,0.551096
4,0.593035,0.670265,0.559682
5,0.571017,0.669251,0.564059
6,0.551892,0.674901,0.566426
7,0.535080,0.685051,0.567635
8,0.519984,0.698158,0.567969
9,0.506153,0.711732,0.568031
10,0.493616,0.725009,0.567752
11,0.482166,0.738180,0.566846
12,0.471693,0.750697,0.566695
13,0.462090,0.764730,0.566627
14,0.453374,0.775927,0.566363
15,0.445290,0.787486,0.566168
