epoch,train_loss,val_loss,val_acc
1,0.723399,0.693920,0.499656
2,0.698954,0.694876,0.499906
3,0.689597,0.696663,0.498953
4,0.683757,0.698898,0.499875
5,0.679415,0.701043,0.499344
6,0.675903,0.702999,0.498984
7,0.672717,0.704885,0.498719
8,0.669810,0.706527,0.499391
9,0.666916,0.708258,0.498937
10,0.664246,0.709972,0.499156
11,0.661430,0.711452,0.498266
12,0.658752,0.713171,0.497594
13,0.656010,0.714805,0.498609
14,0.653197,0.716723,0.497969
15,0.650346,0.718774,0.498734
