epoch,train_loss,val_loss,val_acc
1,0.665854,0.678565,0.569469
2,0.602921,0.642789,0.587656
3,0.572655,0.613625,0.603156
4,0.545899,0.594592,0.618437
5,0.522218,0.575006,0.630125
6,0.503120,0.562100,0.629313
7,0.488883,0.552248,0.635813
8,0.477667,0.548139,0.636719
9,0.467305,0.546054,0.638969
10,0.456965,0.547859,0.639125
11,0.447644,0.549825,0.638344
12,0.438015,0.552874,0.639594
13,0.428300,0.556499,0.637719
14,0.418843,0.560132,0.640406
15,0.408962,0.564084,0.642188
