epoch,train_loss,val_loss,val_acc
1,0.709331,0.706012,0.502297
2,0.704018,0.703377,0.500734
3,0.702137,0.702253,0.501516
4,0.701188,0.701650,0.501953
5,0.700416,0.701224,0.501172
6,0.699666,0.700784,0.500563
7,0.698985,0.700402,0.500875
8,0.698354,0.699940,0.500547
9,0.697760,0.699566,0.500594
10,0.697194,0.699271,0.500437
11,0.696674,0.698932,0.499672
12,0.696185,0.698634,0.499719
13,0.695703,0.698417,0.499875
14,0.695289,0.698170,0.500078
15,0.694866,0.697955,0.500031
