epoch,train_loss,val_loss,val_acc
1,0.709954,0.707474,0.499375
2,0.704545,0.703488,0.502031
3,0.701550,0.701296,0.504313
4,0.699935,0.699990,0.507281
5,0.698878,0.699042,0.507531
6,0.697990,0.698168,0.508406
7,0.697117,0.697346,0.509469
8,0.696263,0.696595,0.512125
9,0.695429,0.695887,0.513188
10,0.694614,0.695218,0.514938
11,0.693822,0.694542,0.516781
12,0.693063,0.693912,0.518375
13,0.692309,0.693224,0.519563
14,0.691587,0.692578,0.521031
15,0.690879,0.691991,0.522813
